R&D Spend,Administration,Marketing Spend,State,Profit
38558.51,82982.09,174999.3,California,81005.76
93863.75,127320.38,249839.44,Florida,141585.52
94657.16,145077.58,282574.31,New York,125370.37
123334.88,108679.17,304981.62,California,149759.96
77044.01,99281.34,140574.81,New York,108552.04
131876.9,99814.71,362861.36,New York,156991.12
76253.86,113867.3,298664.47,California,118474.03
1000.23,124153.04,1903.93,New York,64926.08
15505.73,127382.3,35534.17,New York,69758.98
86419.7,153514.11,0.0,New York,122776.86
28663.76,127056.21,201126.82,Florida,90708.19
